EP_Plotid,Plotid,Exploratory,Type,13c_CO2,14c_CO2
HEG47,H2818,H,G,-28.22,79.41
HEG48,H5053,H,G,-27.37,46.25
HEG49,H8020,H,G,-27.51,62.73
HEG50,H15457,H,G,-23.66,53.89
HEW1,H274,H,F,-22.83,-86.27
HEW2,H301,H,F,-24.22,27.19
HEW3,H303,H,F,-25.99,137.38
HEW4,H307,H,F,-26.7,3.57
HEW5,H154,H,F,-25.01,-5.76
HEW6,H150,H,F,-27.58,64.91
HEW7,H71011,H,F,-26.67,81.49
HEW8,H311,H,F,-28.06,88.04
HEW9,H71310,H,F,-28.09,81.59
HEW10,H1363,H,F,NA,NA
HEW11,H8568,H,F,-27.13,58.06
HEW12,H22701,H,F,-27.01,93.1
HEW13,H302,H,F,-26.89,79.9
HEW14,H306,H,F,-27,65.91
HEW15,H87,H,F,-27.13,64.32
HEW16,H58,H,F,-27.51,72.06
HEW17,H130,H,F,-26.45,54.59
HEW18,H637,H,F,-27.67,NA
HEW19,H32,H,F,-26.03,NA
HEW20,H548,H,F,-24.22,-61.15
HEW21,H20,H,F,-27.47,77.12
HEW22,H551,H,F,-26.82,84.27
HEW23,H104,H,F,-25.78,87.84
HEW24,H300,H,F,-26.68,84.96
HEW25,H304,H,F,-26.38,79.6
HEW26,H313,H,F,-27.29,100.15
HEW27,H310,H,F,-26.99,45.26
HEW28,H308,H,F,-27.14,72.95
HEW29,H71407,H,F,NA,80.99
HEW30,H71515,H,F,-26.43,86.85
HEW31,H71623,H,F,-26.43,93.1
HEW32,H72920,H,F,-26.8,94.59
HEW33,H38964,H,F,-27,98.96
HEW34,H1192,H,F,-26.78,97.08
HEW35,H9686,H,F,-27.43,98.27
HEW36,H10804,H,F,-26.79,92.11
HEW37,H12905,H,F,-26.67,113.65
HEW38,H13104,H,F,-27.12,95.29
HEW39,H13939,H,F,-26.29,94.2
HEW40,H18639,H,F,-26.72,93.4
HEW41,H22709,H,F,-26.87,93.7
HEW42,H23819,H,F,-26.89,86.65
HEW43,H531,H,F,-27.34,67.49
HEW44,H674,H,F,-25.17,-13.61
HEW45,H305,H,F,-25.08,66.2
HEW46,H238,H,F,-26.86,96.18
HEW47,H68,H,F,-26.73,91.71
HEW48,H70517,H,F,-27.33,96.98
HEW49,H71125,H,F,-26.37,85.86
HEW50,H12504,H,F,-26.86,103.43
SEG1,S1029,S,G,-28.17,18.46
SEG2,S573,S,G,-27.82,19.15
SEG3,S526,S,G,-27.12,25.6
SEG4,S712,S,G,-26.14,17.76
SEG5,S667,S,G,-26.34,8.33
SEG6,S1012,S,G,-28.41,21.63
SEG7,S570,S,G,-28.57,20.64
SEG8,S652,S,G,-28.63,10.52
SEG9,S990,S,G,-29.77,-1.4
SEG10,S502,S,G,-28.52,5.35
SEG11,S505,S,G,-27,-17.77
SEG12,S561,S,G,-27.33,-2.98
SEG13,S719,S,G,-28.4,35.53
SEG14,S1028,S,G,-27.73,4.26
SEG15,S658,S,G,-28.19,23.92
SEG16,S706,S,G,-28.21,24.81
SEG17,S1015,S,G,-29,22.33
SEG18,S1039,S,G,-27.91,46.05
SEG19,S676,S,G,-26.94,20.84
SEG20,S980,S,G,-27.38,-33.36
SEG21,S988,S,G,-27.8,18.36
SEG22,S999,S,G,-28.32,69.08
SEG23,S612,S,G,-27.79,18.06
SEG24,S761,S,G,-27.48,6.05
SEG25,S1007,S,G,-28.57,15.48
SEG26,S1022,S,G,-27,-13.31
SEG27,S1051,S,G,-28.68,-43.68
SEG28,S1042,S,G,-26.38,12.5
SEG29,S1043,S,G,-27.39,42.18
SEG30,S690,S,G,NA,-3.68
SEG31,S698,S,G,-26.76,70.27
SEG32,S701,S,G,-27.52,60.25
SEG33,S732,S,G,-27.31,26.5
SEG34,S738,S,G,-27.93,36.42
SEG35,S770,S,G,-26.4,31.96
SEG36,S1035,S,G,-27.11,2.28
SEG37,S1036,S,G,-27.38,67.69
SEG38,S1044,S,G,-28.33,77.02
SEG39,S780,S,G,-27.53,42.58
SEG40,S850,S,G,-27.47,43.07
SEG41,S974,S,G,-27.71,53.7
SEG42,S1045,S,G,-28.2,53.7
SEG43,S1046,S,G,-26.98,16.67
SEG44,S1047,S,G,-27.73,52.01
SEG45,S1048,S,G,-28.35,35.63
SEG46,S779,S,G,-27.6,64.02
SEG47,S801,S,G,-23.69,25.21
SEG48,S995,S,G,-26.74,17.86
SEG49,S1033,S,G,-26.78,20.34
SEG50,S1052,S,G,-26.75,78.41
SEW1,S5110,S,F,-24.58,104.22
SEW2,S5090,S,F,-27.07,127.45
SEW3,S5112,S,F,NA,NA
SEW4,S467,S,F,NA,NA
SEW5,S219,S,F,NA,NA
SEW6,S5111,S,F,-25.61,99.06
SEW7,S5106,S,F,NA,NA
SEW8,S5113,S,F,NA,NA
SEW9,S5114,S,F,-26.65,106.51
SEW10,S5073,S,F,-26.55,114.15
SEW11,S5075,S,F,-26.99,100.95
SEW12,S5094,S,F,-26.06,88.04
SEW13,S154,S,F,-26.6,145.62
SEW14,S5098,S,F,-25.81,123.78
SEW15,S5102,S,F,-27.35,88.74
SEW16,S260,S,F,-24.23,112.56
SEW17,S5001,S,F,-26.11,72.16
SEW18,S5051,S,F,-26.53,111.17
SEW19,S5070,S,F,-26.5,79.41
SEW20,S5074,S,F,-26.6,103.83
SEW21,S5101,S,F,NA,NA
SEW22,S213,S,F,-26.18,115.24
SEW23,S5089,S,F,-23.95,132.61
SEW24,S5092,S,F,-26.3,111.07
SEW25,S5095,S,F,NA,NA
SEW26,S5100,S,F,NA,NA
SEW27,S5105,S,F,-26.76,107.1
SEW28,S5107,S,F,-27.26,92.31
SEW29,S156,S,F,-26.55,89.83
SEW30,S217,S,F,NA,NA
SEW31,S5116,S,F,NA,NA
SEW32,S292,S,F,NA,NA
SEW33,S5038,S,F,-26.36,83.97
SEW34,S5108,S,F,-26.38,98.27
SEW35,S475,S,F,NA,NA
SEW36,S5086,S,F,-26.33,114.25
SEW37,S5091,S,F,NA,NA
SEW38,S5104,S,F,NA,NA
SEW39,S384,S,F,NA,NA
SEW40,S391,S,F,-26.5,94.89
SEW41,S397,S,F,-26.58,87.05
SEW42,S414,S,F,-27.03,105.61
SEW43,S421,S,F,-26.87,98.86
SEW44,S488,S,F,-26.56,79.51
SEW45,S353,S,F,-25.99,95.09
SEW46,S5060,S,F,NA,NA
SEW47,S5063,S,F,-26.45,94
SEW48,S360,S,F,-26.59,90.52
SEW49,S438,S,F,-25.73,102.14
SEW50,S5117,S,F,NA,NA
